Incoming_Order_A,Incoming_Order_B,Incoming_Order_C
42,53,80
70,84,11
87,24,67
94,65,78
44,67,55
12,82,30
15,45,28
32,26,79
30,43,25
16,27,18
49,76,72
95,83,96
92,47,10
52,67,56
49,76,83
30,14,65
53,49,75
60,13,36
85,51,93
94,17,75
26,51,59
62,43,22
91,86,43
40,80,71
90,55,50
30,54,49
74,61,66
50,81,56
44,90,69
71,72,64
83,13,83
47,56,57
63,32,92
40,45,39
18,80,18
25,56,37
50,22,20
60,62,85
99,54,14
29,31,66
85,41,59
35,15,84
59,47,28
63,65,87
80,62,42
94,49,78
78,76,36
46,31,90
68,12,39
34,81,25
75,11,45
66,45,18
19,91,84
30,93,23
93,84,44
27,93,95
74,25,99
60,27,51
82,42,85
52,13,32
69,87,64
76,89,92
26,20,58
18,91,63
61,23,13
39,97,42
78,32,17
29,65,37
74,87,40
47,99,80
34,35,13
67,35,49
17,23,38
19,82,67
100,40,41
71,87,13
55,32,90
33,90,79
41,66,89
66,60,47
75,17,65
66,94,56
86,36,64
85,82,33
74,84,37
19,70,12
91,41,37
91,69,32
75,58,60
82,93,61
35,75,53
11,73,36
24,91,15
59,64,99
17,51,40
65,83,55
13,39,98
69,41,50
19,66,38
11,97,57
54,50,62
31,26,87
22,39,16
36,48,52
26,60,81
75,23,75
33,56,63
37,21,13
62,62,41
17,10,61
48,52,37
67,72,56
67,54,71
56,62,24
25,99,14
73,78,40
64,75,19
42,56,26
71,79,90
24,91,43
78,33,29
17,79,78
96,81,19
40,72,77
42,43,52
57,28,64
28,34,23
79,72,26
19,72,68
62,60,14
38,95,32
45,77,59
82,98,30
97,16,44
68,43,93
28,89,94
59,91,61
78,16,58
39,77,11
48,38,98
87,68,62
67,88,82
46,87,61
10,16,89
43,18,63
89,66,74
91,87,23
82,30,48
53,76,73
32,72,19
57,86,50
23,83,25
63,89,56
87,24,84
18,33,18
35,54,82
98,90,61
85,54,63
35,92,28
73,57,49
62,49,36
54,31,13
12,36,12
41,91,51
58,96,77
31,95,60
21,12,45
74,37,25
22,47,86
78,98,64
29,20,81
20,68,87
87,16,64
81,67,81
33,95,66
37,23,11
62,86,78
28,73,26
68,95,51
60,71,56
13,66,54
97,20,86
21,35,25
42,16,11
30,39,87
39,80,77
91,30,51
13,22,47
66,59,20
14,53,40
70,32,18
20,53,75
12,34,17
15,69,28
32,24,62
96,36,36
46,90,69
14,38,83
20,94,41
60,53,18
52,35,84
95,39,81
89,56,45
85,30,88
81,16,44
86,81,33
85,86,85
92,98,77
27,43,56
37,29,68
88,77,29
30,25,91
30,81,97
19,84,38
78,13,88
53,97,38
57,86,12
50,55,14
18,13,26
20,17,16
38,35,33
11,20,93
52,56,51
44,86,21
86,34,83
81,13,46
60,72,12
73,58,87
78,22,34
93,55,74
75,47,42
97,89,82
81,84,86
16,62,58
49,59,60
64,58,21
95,57,44
24,65,49
42,90,56
90,99,91
30,30,37
28,42,46
20,51,82
60,63,47
28,21,26
95,59,86
89,25,61
68,65,15
64,57,99
45,34,30
68,28,65
26,73,43
13,38,83
45,11,67
91,89,84
93,58,36
84,16,35
14,41,64
52,79,95
25,45,74
12,13,33
44,70,21
90,74,51
19,91,98
34,65,71
95,51,27
55,42,14
86,51,96
39,91,88
15,12,85
28,19,97
63,44,64
69,75,94
69,36,23
57,32,20
26,16,43
91,41,79
30,74,39
47,12,68
58,24,10
96,77,59
61,82,40
77,21,91
36,63,95
40,65,44
57,80,46
54,42,91
41,24,15
74,46,46
29,15,21
31,91,17
22,34,81
84,66,37
68,60,63
90,39,89
26,60,90
53,35,64
89,70,68
29,32,15
67,43,37
56,97,72
49,39,27
97,95,83
35,54,56
52,36,78
95,40,26
17,58,17
43,31,53
42,18,58
31,50,73
90,75,28
48,73,71
76,33,82
45,64,13
56,83,97
20,83,98
58,15,60
24,42,15
64,78,41
56,62,11
99,76,82
93,58,28
17,66,23
93,97,73
36,76,15
82,73,33
78,54,56
38,76,100
42,82,23
59,63,50
66,86,64
16,69,18
97,83,36
11,93,75
28,99,60
92,15,86
42,59,62
95,58,26
71,29,66
66,50,90
44,27,57
85,11,66
79,47,55
58,10,92
54,15,47
55,94,58
11,14,41
15,32,21
73,29,70
96,15,95
79,43,65
38,88,86
48,90,29
75,81,92
21,52,10
51,37,30
89,67,22
54,65,92
29,40,92
66,63,62
49,70,17
84,95,20
37,15,80
90,42,76
38,78,17
94,18,42
53,80,80
35,92,21
39,63,58
57,75,78
30,68,34
17,80,61
49,22,53
75,68,60
20,10,50
68,73,73
96,70,75
23,75,78
87,74,13
73,81,71
95,69,53
72,53,19
66,83,65
21,13,86
36,13,76
17,91,39
40,31,16
23,70,13
80,35,60
21,100,24
40,66,34
40,71,31
29,73,11
38,85,23
73,49,13
37,87,99
69,53,42
35,93,85
76,84,47
68,45,33
10,83,31
92,30,80
35,65,71
80,23,74
82,72,87
97,77,57
48,20,50
31,28,60
56,86,69
90,65,81
27,30,91
45,81,38
59,21,22
59,65,78
48,40,57
17,53,81
60,88,49
23,64,86
80,30,58
62,70,32
70,57,15
17,33,18
86,28,25
83,73,49
64,38,83
87,10,92
21,89,62
37,58,36
85,16,69
76,40,68
25,78,55
80,44,97
31,13,83
23,69,94
65,74,65
60,91,99
38,64,75
45,51,10
89,41,36
64,51,86
77,90,50
22,11,25
70,19,20
98,44,82
26,75,69
89,35,55
76,37,35
46,15,67
86,40,43
78,74,59
48,11,79
65,23,86
39,76,19
25,65,56
80,92,68
57,38,23
51,91,10
98,16,98
11,95,83
44,46,34
90,95,35
92,23,20
98,20,53
53,97,94
55,39,93
46,85,32
18,22,45
92,53,98
98,72,35
68,72,95
68,61,79
57,90,90
92,72,89
74,76,23
41,94,81
86,67,92
48,51,86
93,43,74
28,67,37
78,12,42
16,60,31
27,81,18
81,98,27
29,16,66
85,41,94
35,72,72
59,33,61
87,11,34
59,18,57
43,43,83
74,53,36
93,86,26
44,27,11
90,46,77
91,64,13
83,73,49
54,69,85
38,24,11
68,49,56
88,59,53
88,98,12
98,43,11
52,34,40
68,30,15
57,11,64
92,34,90
74,41,47
41,61,13
79,70,17
26,48,17
61,27,83
19,47,82
67,22,11
15,64,88
89,66,92
27,81,46
45,52,36
18,12,86
95,47,66
37,55,22
83,80,30
85,84,86
10,66,86
47,96,30
32,69,83
62,50,58
28,59,65
12,90,57
43,69,68
62,66,10
62,47,12
32,70,72
60,24,25
95,82,73
31,24,35
31,70,15
35,18,62
86,87,36
98,83,39
76,64,97
27,89,27
19,75,41
21,18,19
39,64,46
12,11,18
53,80,55
21,10,77
87,76,10
82,99,18
60,82,15
61,17,90
63,51,99
28,66,57
69,96,28
61,86,94
37,82,69
26,88,82
71,86,56
64,88,81
12,23,40
68,33,20
19,85,92
10,44,10
53,48,16
47,75,22
26,21,95
47,50,37
22,88,29
45,54,33
28,28,18
53,86,46
85,63,76
71,57,68
96,74,32
16,53,30
43,26,55
79,13,88
13,86,67
51,39,78
41,33,49
81,80,46
49,67,75
26,99,43
36,55,60
11,57,17
23,72,64
48,43,35
74,88,77
34,34,37
13,74,78
20,24,30
45,16,10
55,77,22
94,71,36
39,26,27
26,46,59
17,100,29
79,22,80
63,19,54
45,95,68
10,38,25
83,84,94
41,75,75
46,60,24
63,86,75
36,63,26
40,57,85
96,80,27
96,66,97
93,33,59
36,65,30
82,59,29
84,94,67
99,22,67
70,66,37
86,42,84
34,54,48
90,83,84
49,36,34
35,90,99
88,38,89
36,22,50
92,29,40
59,54,12
51,85,100
41,25,71
30,66,27
62,68,14
74,78,11
38,41,70
100,22,19
89,29,38
58,85,38
98,30,20
98,22,96
86,64,98
55,59,92
13,37,82
17,58,15
35,39,75
77,59,51
48,68,23
47,30,68
36,42,12
45,95,78
81,43,90
20,99,10
83,58,39
20,34,85
71,38,20
83,56,12
47,47,84
85,53,32
50,17,32
91,55,24
88,35,35
74,44,49
96,56,33
73,19,43
67,52,41
22,44,40
42,20,37
24,27,38
46,90,34
30,77,91
79,20,97
80,65,91
65,13,43
50,82,68
16,78,38
80,70,83
48,59,83
25,28,82
19,76,20
88,67,83
84,15,80
60,71,90
11,22,39
99,14,19
41,50,24
87,44,71
89,91,74
14,77,31
34,30,83
15,24,93
56,93,99
53,23,100
68,95,56
39,55,73
89,29,16
58,15,92
31,94,84
18,47,42
50,41,98
90,88,45
95,75,11
85,42,11
71,51,59
30,90,50
24,36,12
93,23,43
89,14,48
70,70,46
93,54,100
90,84,24
22,14,49
58,14,34
21,92,98
59,61,63
25,47,74
20,11,69
37,80,78
11,46,90
87,68,33
30,70,30
76,85,64
72,56,31
86,40,76
17,41,70
88,85,31
21,61,26
94,89,38
31,52,43
64,31,63
63,40,79
40,52,39
80,16,55
31,54,63
23,20,34
89,60,74
74,52,51
42,28,69
13,33,55
97,75,49
76,95,75
72,95,11
53,32,17
76,54,62
83,90,84
18,29,61
83,67,64
67,33,30
97,97,93
62,64,28
23,68,72
55,86,44
49,53,29
28,40,84
24,75,20
29,64,80
28,99,53
16,76,96
31,43,60
92,81,57
52,28,89
83,63,68
36,21,39
33,69,10
63,17,22
83,73,80
82,18,85
20,100,70
47,52,62
83,60,92
47,87,75
85,27,53
97,81,74
33,95,68
32,85,12
21,35,83
80,93,77
38,15,45
42,86,63
59,29,31
66,61,99
40,55,63
25,34,28
28,54,100
90,35,87
