Incoming_Order_A,Incoming_Order_B,Incoming_Order_D,Incoming_Order_E
47,49,63,68
75,12,91,44
10,60,91,70
37,49,84,24
23,48,13,97
18,40,72,41
26,28,44,100
41,66,57,31
46,37,69,63
59,34,27,47
48,66,34,22
72,58,75,59
28,22,81,57
89,56,87,79
12,26,80,94
71,81,13,18
47,87,20,27
60,54,78,100
22,87,31,31
28,17,33,31
82,55,88,67
98,15,96,76
38,48,61,72
73,18,26,12
89,21,80,92
91,64,54,36
17,30,67,60
13,19,86,44
25,30,51,12
89,41,55,54
18,52,71,85
48,28,69,43
97,68,34,56
58,53,16,52
72,55,80,45
38,45,53,77
72,82,39,40
85,62,56,64
11,24,33,38
78,73,38,41
99,97,67,32
78,55,60,73
35,90,38,29
81,41,45,34
19,61,33,44
50,48,62,62
92,49,24,93
36,80,64,84
36,58,85,24
21,96,24,12
11,59,76,81
71,17,47,34
29,43,80,40
34,87,83,84
54,46,81,83
14,12,63,54
62,32,70,86
23,16,68,43
63,100,48,14
73,98,56,34
19,82,55,52
47,64,13,73
73,79,74,38
47,25,66,52
14,36,80,84
58,57,51,72
70,42,44,39
56,14,36,62
95,99,60,67
63,50,17,64
92,55,67,22
22,39,95,66
22,33,91,54
83,45,89,23
46,85,41,12
25,77,73,95
94,44,57,33
41,11,69,15
78,82,34,45
76,34,65,42
90,63,14,99
66,12,73,95
78,70,37,63
41,45,25,100
34,55,40,100
91,47,25,88
48,41,93,24
97,60,35,43
70,98,19,37
66,20,20,41
20,38,78,36
96,13,86,68
50,77,13,14
62,69,21,95
47,29,91,12
31,47,56,58
92,68,94,16
62,70,62,72
10,25,80,20
66,90,48,27
39,80,85,93
57,22,45,38
90,89,42,38
42,78,48,83
92,82,45,47
66,59,86,56
11,30,44,23
94,93,43,22
72,63,47,11
100,41,48,44
25,34,70,18
22,93,27,50
94,48,75,29
73,59,33,85
16,65,97,71
78,85,22,34
78,66,83,97
93,26,42,99
74,63,17,37
21,54,76,66
11,59,100,25
12,73,10,19
12,32,31,92
32,26,52,14
88,20,79,23
59,34,98,46
60,10,93,63
86,67,63,71
21,36,50,99
35,27,50,41
63,18,73,36
98,35,76,74
61,29,76,49
11,35,44,84
82,52,96,89
31,60,82,81
83,86,33,28
45,99,67,87
88,14,86,43
77,31,10,91
60,68,17,36
22,24,100,68
15,89,81,81
21,29,77,30
14,77,88,75
19,69,30,35
30,82,19,14
74,12,77,12
60,30,53,73
11,74,79,80
16,17,54,88
98,12,35,32
61,42,44,13
28,63,71,96
32,14,77,87
77,15,98,80
27,13,72,46
62,45,54,33
98,70,21,55
87,28,55,60
31,89,47,25
54,49,33,94
66,66,66,26
85,36,91,35
24,65,70,34
11,96,62,89
16,50,69,86
54,28,97,81
65,48,88,73
61,50,81,88
38,56,38,58
99,57,34,37
62,13,97,89
44,24,56,71
60,50,47,27
77,74,68,81
70,80,72,27
34,80,79,60
16,55,50,59
43,97,96,74
67,40,58,86
29,53,38,87
78,78,28,25
16,88,99,36
33,47,52,81
83,87,73,87
27,50,24,35
68,75,76,38
57,10,70,39
94,12,77,15
33,95,92,98
16,19,82,80
76,70,45,40
80,35,93,12
92,28,13,66
94,45,82,69
11,94,86,44
31,61,59,13
66,93,67,88
96,73,98,14
96,55,46,49
60,56,55,100
93,29,53,73
68,10,74,57
45,48,11,68
54,61,15,22
64,89,20,69
60,71,85,59
94,86,37,97
93,94,65,50
45,95,60,32
97,84,81,12
25,21,85,76
21,41,84,21
22,28,15,40
56,88,91,15
11,82,96,44
96,41,30,18
85,61,80,50
11,83,47,62
26,85,52,86
40,28,72,43
21,76,94,36
83,83,88,44
41,13,97,72
